views,comments,shares,likes,duration,captions,hashtags,created_at,created_day,created_month,created_year,tokenized_captions,filtered_captions,caption_length,split_hashtags
1236,114,109,152,16,Lui  il pi veloce di tutti nopressure foryoupage foryou user,"nopressure, foryoupage, foryou, user",2020-04-25,Saturday,April,2020,"['Lui', 'il', 'pi', 'veloce', 'di', 'tutti', 'nopressure', 'foryoupage', 'foryou', 'user']","['Lui', 'il', 'pi', 'veloce', 'di', 'tutti', 'nopressure', 'foryoupage', 'foryou', 'user']",60,"['nopressure', 'foryoupage', 'foryou', 'user']"
1205,95,119,132,8,Sono sicuro che ogni mamma la detto almeno una volta foryoupage foryou mamma,"foryoupage, foryou, mamma",2020-04-24,Friday,April,2020,"['Sono', 'sicuro', 'che', 'ogni', 'mamma', 'la', 'detto', 'almeno', 'una', 'volta', 'foryoupage', 'foryou', 'mamma']","['Sono', 'sicuro', 'che', 'ogni', 'mamma', 'la', 'detto', 'almeno', 'una', 'volta', 'foryoupage', 'foryou', 'mamma']",76,"['foryoupage', 'foryou', 'mamma']"
1377,89,630,162,8,Vi e mai capitato foryoupage foryou,"foryoupage, foryou",2020-04-24,Friday,April,2020,"['Vi', 'e', 'mai', 'capitato', 'foryoupage', 'foryou']","['Vi', 'e', 'mai', 'capitato', 'foryoupage', 'foryou']",35,"['foryoupage', 'foryou']"
1665,164,912,214,11,Cosa gli  successo al fratellino foryoupageblackhumorforyou,"foryoupage, blackhumor, foryou",2020-04-23,Thursday,April,2020,"['Cosa', 'gli', 'successo', 'al', 'fratellino', 'foryoupageblackhumorforyou']","['Cosa', 'gli', 'successo', 'al', 'fratellino', 'foryoupageblackhumorforyou']",59,"['foryoupage', 'blackhumor', 'foryou']"
2206,239,543,309,10,Pure per voi  cos foryoupage foryou,"foryoupage, foryou",2020-04-23,Thursday,April,2020,"['Pure', 'per', 'voi', 'cos', 'foryoupage', 'foryou']","['Pure', 'per', 'voi', 'cos', 'foryoupage', 'foryou']",35,"['foryoupage', 'foryou']"
146,111,651,203,12,E sempre cos nopressure foryoupage perte scuola,"nopressure, foryoupage, perte, scuola",2020-04-22,Wednesday,April,2020,"['E', 'sempre', 'cos', 'nopressure', 'foryoupage', 'perte', 'scuola']","['E', 'sempre', 'cos', 'nopressure', 'foryoupage', 'perte', 'scuola']",47,"['nopressure', 'foryoupage', 'perte', 'scuola']"
2149,86,677,207,8,Quale la vostra materia preferitaperteforyoupage foryou,"perte, foryoupage, foryou",2020-04-22,Wednesday,April,2020,"['Quale', 'la', 'vostra', 'materia', 'preferitaperteforyoupage', 'foryou']","['Quale', 'la', 'vostra', 'materia', 'preferitaperteforyoupage', 'foryou']",55,"['perte', 'foryoupage', 'foryou']"
137,164,569,18,10,Vi siete mai vendicati con la vostra ex nopressure foryoupage foryou,"nopressure, foryoupage, foryou",2020-04-21,Tuesday,April,2020,"['Vi', 'siete', 'mai', 'vendicati', 'con', 'la', 'vostra', 'ex', 'nopressure', 'foryoupage', 'foryou']","['Vi', 'siete', 'mai', 'vendicati', 'con', 'la', 'vostra', 'ex', 'nopressure', 'foryoupage', 'foryou']",68,"['nopressure', 'foryoupage', 'foryou']"
4388,102,842,444,14,clonesquad foryoupage foryou coronavirus,"clonesquad, foryoupage, foryou, coronavirus",2020-04-20,Monday,April,2020,"['clonesquad', 'foryoupage', 'foryou', 'coronavirus']","['clonesquad', 'foryoupage', 'foryou', 'coronavirus']",40,"['clonesquad', 'foryoupage', 'foryou', 'coronavirus']"
2695,84,226,286,15,Aaaaaaaa la mamma foryoupage foryou duetto,"foryoupage, foryou, duetto",2020-04-20,Monday,April,2020,"['Aaaaaaaa', 'la', 'mamma', 'foryoupage', 'foryou', 'duetto']","['Aaaaaaaa', 'la', 'mamma', 'foryoupage', 'foryou', 'duetto']",42,"['foryoupage', 'foryou', 'duetto']"
1573,124,522,182,12,foryoupage foryou coronavirus ironic,"foryoupage, foryou, coronavirus, ironic",2020-04-19,Sunday,April,2020,"['foryoupage', 'foryou', 'coronavirus', 'ironic']","['foryoupage', 'foryou', 'coronavirus', 'ironic']",36,"['foryoupage', 'foryou', 'coronavirus', 'ironic']"
1294,87,156,145,10,Siete fidanzati foryoupage foryou duetto fyp,"foryoupage, foryou, duetto, fyp",2020-04-19,Sunday,April,2020,"['Siete', 'fidanzati', 'foryoupage', 'foryou', 'duetto', 'fyp']","['Siete', 'fidanzati', 'foryoupage', 'foryou', 'duetto', 'fyp']",44,"['foryoupage', 'foryou', 'duetto', 'fyp']"
5291,218,769,521,14,Siete mai stati picchiati per qualcosa di grave  foryoupage ironic foryou duetto,"foryoupage, ironic, foryou, duetto",2020-04-18,Saturday,April,2020,"['Siete', 'mai', 'stati', 'picchiati', 'per', 'qualcosa', 'di', 'grave', 'foryoupage', 'ironic', 'foryou', 'duetto']","['Siete', 'mai', 'stati', 'picchiati', 'per', 'qualcosa', 'di', 'grave', 'foryoupage', 'ironic', 'foryou', 'duetto']",80,"['foryoupage', 'ironic', 'foryou', 'duetto']"
1406,79,284,166,8,nopressure foryoupage foryou duetto,"nopressure, foryoupage, foryou, duetto",2020-04-18,Saturday,April,2020,"['nopressure', 'foryoupage', 'foryou', 'duetto']","['nopressure', 'foryoupage', 'foryou', 'duetto']",35,"['nopressure', 'foryoupage', 'foryou', 'duetto']"
3634,121,1361,399,8,Ci avete provato pure voi foryoupage foryou duetto discoteca,"foryoupage, foryou, duetto, discoteca",2020-04-17,Friday,April,2020,"['Ci', 'avete', 'provato', 'pure', 'voi', 'foryoupage', 'foryou', 'duetto', 'discoteca']","['Ci', 'avete', 'provato', 'pure', 'voi', 'foryoupage', 'foryou', 'duetto', 'discoteca']",60,"['foryoupage', 'foryou', 'duetto', 'discoteca']"
9551,899,545,924,10,Pure la vostra fa cos  nopressure foryoupage foryou duetto ps4,"nopressure, foryoupage, foryou, duetto, ps4",2020-04-17,Friday,April,2020,"['Pure', 'la', 'vostra', 'fa', 'cos', 'nopressure', 'foryoupage', 'foryou', 'duetto', 'ps4']","['Pure', 'la', 'vostra', 'fa', 'cos', 'nopressure', 'foryoupage', 'foryou', 'duetto', 'ps4']",62,"['nopressure', 'foryoupage', 'foryou', 'duetto', 'ps4']"
